Id,Prof/Choice,SW/Mobile,SW/Desktop,SW/Web,Tech/iOS,Tech/OSX,Tech/FrontendJS,Tech/NodeJS,Tech/HTML,Nonative/Dev,Nonative/Opinion,Xplat/Dev,Xplat/Opinion,Lang/Pref,Exp/JS,Exp/Node,Exp/iOS,App/Never,App/ObjC,App/Titanium,App/Cordova,App/Frontend,App/Best
18,,0,0,1,0,0,0,1,0,1,1,1,2,Javascript,4,3,2,0,0,1,0,0,PhoneGap / Apache Cordova
19,Frontend Engineer,1,0,1,0,0,1,1,1,1,1,1,1,Javascript,5,4,3,0,0,0,1,0,PhoneGap / Apache Cordova
20,Frontend Engineer,0,1,0,0,0,1,0,1,0,2,0,2,Javascript,3,1,1,1,0,0,0,0,
21,,1,1,1,1,1,1,1,1,1,1,1,0,Objective-C,4,4,5,0,1,0,0,0,Objective-C Foundation
23,iOS Developer,1,0,0,1,0,0,0,1,0,1,0,0,Objective-C,2,1,4,0,1,0,0,0,Objective-C Foundation
24,Backend Engineer,1,0,1,1,0,1,1,1,1,2,1,1,Javascript,4,5,5,0,1,1,0,0,Appcelerator Titanium
25,Frontend Engineer,1,0,1,0,0,1,1,1,1,1,1,1,Javascript,5,4,2,0,0,0,1,1,PhoneGap / Apache Cordova
26,Frontend Engineer,0,0,1,0,0,1,0,1,1,2,1,1,Javascript,3,2,2,0,0,0,1,1,PhoneGap / Apache Cordova
27,Frontend Engineer,0,0,1,0,0,1,1,0,1,1,1,2,Javascript,4,4,2,0,1,0,1,0,PhoneGap / Apache Cordova
28,iOS Developer,0,0,1,1,0,1,1,1,1,0,1,0,Objective-C,4,5,5,0,1,0,0,1,Objective-C Foundation
29,Backend Engineer,1,0,1,1,0,1,1,1,1,1,1,1,Javascript,5,5,4,0,0,0,1,0,PhoneGap / Apache Cordova
31,Frontend Engineer,0,0,1,0,0,1,1,1,0,1,0,1,Javascript,4,3,1,1,0,0,0,0,
32,Backend Engineer,0,0,1,0,0,0,1,1,0,2,0,2,Javascript,5,5,1,1,0,0,0,0,
34,Backend Engineer,0,0,1,0,0,1,1,1,0,2,1,1,Javascript,4,3,1,1,0,0,0,0,
36,,0,0,1,0,0,1,1,1,0,2,0,2,Javascript,4,2,1,1,0,0,0,0,
37,Backend Engineer,1,0,1,1,1,1,1,1,1,0,1,0,Javascript,4,4,4,0,1,1,1,0,Objective-C Foundation
